university,cycle,party,donor_count,donation_count,total_amount
Drexel University,2026,REP,1,2,100.00
Drexel University,2026,OTH,7,22,2829.00
Duke University,2008,DEM,198,478,253119.00
Duke University,2008,REP,10,40,25750.00
Duke University,2008,OTH,14,23,6500.00
Duke University,2012,DEM,185,433,210354.00
Duke University,2012,REP,16,40,18475.00
Duke University,2012,OTH,6,14,3900.00
Duke University,2016,DEM,268,2098,429646.00
Duke University,2016,REP,12,26,5849.00
Duke University,2016,OTH,26,93,24908.00
Duke University,2020,DEM,460,5365,1149495.00
Duke University,2020,REP,10,133,29882.00
Duke University,2020,OTH,80,401,89575.00
Duke University,2024,DEM,292,3051,623408.00
Duke University,2024,REP,15,213,17104.00
Duke University,2024,OTH,67,396,84716.00
Duke University,2026,DEM,105,693,198287.00
Duke University,2026,REP,6,58,3145.00
Duke University,2026,OTH,42,120,64446.00
Duquesne University,2008,DEM,10,14,4200.00
Duquesne University,2008,REP,2,2,1500.00
Duquesne University,2008,OTH,1,1,1000.00
Duquesne University,2012,DEM,14,25,7950.00
Duquesne University,2012,REP,2,3,2500.00
Duquesne University,2012,OTH,1,1,200.00
Duquesne University,2016,DEM,14,99,16525.00
Duquesne University,2016,REP,7,11,5019.00
Duquesne University,2020,DEM,30,247,21915.00
Duquesne University,2020,REP,3,3,2200.00
Duquesne University,2020,OTH,3,6,675.00
Duquesne University,2024,DEM,20,141,33200.00
Duquesne University,2024,OTH,3,17,609.00
Duquesne University,2026,DEM,3,10,4520.00
Duquesne University,2026,REP,1,1,300.00
Duquesne University,2026,OTH,1,6,600.00
Emory University,2008,DEM,112,227,178391.00
Emory University,2008,REP,10,13,12635.00
Emory University,2008,OTH,5,8,8650.00
Emory University,2012,DEM,96,226,228683.00
Emory University,2012,REP,5,11,8457.00
Emory University,2012,OTH,8,11,83100.00
Emory University,2016,DEM,142,1573,353343.00
Emory University,2016,REP,5,8,4025.00
Emory University,2016,OTH,16,92,79000.00
Emory University,2020,DEM,303,6701,1407807.00
Emory University,2020,REP,10,29,14650.00
Emory University,2020,OTH,62,729,232728.00
Emory University,2024,DEM,170,3610,889738.00
Emory University,2024,REP,9,17,14536.00
Emory University,2024,OTH,69,683,503377.00
Emory University,2026,DEM,77,623,263571.00
Emory University,2026,REP,2,3,698.00
Emory University,2026,OTH,32,278,268825.00
Florida International University,2008,DEM,20,26,12100.00
Florida International University,2008,REP,2,2,750.00
Florida International University,2012,DEM,30,57,22678.00
Florida International University,2012,REP,6,7,4450.00
Florida International University,2016,DEM,55,562,32682.00
Florida International University,2016,REP,4,5,1450.00
Florida International University,2016,OTH,6,58,1330.00
Florida International University,2020,DEM,78,1326,111289.00
Florida International University,2020,REP,7,18,6525.00
Florida International University,2020,OTH,23,198,11198.00
Florida International University,2024,DEM,58,444,63940.00
Florida International University,2024,REP,9,143,8546.00
Florida International University,2024,OTH,14,63,9987.00
Florida International University,2026,DEM,8,25,11795.00
Florida International University,2026,REP,2,3,1204.00
Florida International University,2026,OTH,4,23,2300.00
Florida State University,2008,DEM,44,102,40583.00
Florida State University,2008,REP,3,4,3000.00
Florida State University,2008,OTH,3,3,750.00
Florida State University,2012,DEM,39,72,26688.00
Florida State University,2012,REP,3,3,2950.00
Florida State University,2012,OTH,3,4,915.00
Florida State University,2016,DEM,87,859,61145.00
Florida State University,2016,REP,6,27,1769.00
Florida State University,2016,OTH,8,68,5307.00
Florida State University,2020,DEM,138,2231,132742.00
Florida State University,2020,REP,11,24,9295.00
Florida State University,2020,OTH,31,207,15991.00
Florida State University,2024,DEM,78,621,60699.00
Florida State University,2024,REP,11,51,12292.00
Florida State University,2024,OTH,15,128,9716.00
Florida State University,2026,DEM,24,101,11728.00
Florida State University,2026,REP,3,20,11392.00
Florida State University,2026,OTH,7,53,2460.00
Fordham University,2008,DEM,66,129,66058.00
Fordham University,2008,REP,4,8,7650.00
Fordham University,2008,OTH,2,6,1670.00
Fordham University,2012,DEM,54,115,98750.00
Fordham University,2012,REP,2,3,2951.00
Fordham University,2012,OTH,8,20,10450.00
Fordham University,2016,DEM,117,788,108096.00
Fordham University,2016,REP,4,7,3285.00
Fordham University,2016,OTH,10,29,8532.00
Fordham University,2020,DEM,156,2567,385247.00
Fordham University,2020,REP,5,68,22750.00
Fordham University,2020,OTH,44,265,47321.00
Fordham University,2024,DEM,112,880,169703.00
Fordham University,2024,REP,3,17,4685.00
Fordham University,2024,OTH,32,215,29478.00
